voter_uid,reviewer_uid,mid,vote
10153,100,7049,1
3,101,15656,1
10371,101,15817,1
7488,101,16492,1
3,101,162,0
4,102,12877,1
715,102,19571,1
4,102,6229,0
3454,102,6767,0
5303,102,15029,0
11946,102,7655,0
2,103,10937,1
6936,103,7617,0
1,103,17384,0
4,103,7681,1
942,103,17791,1
4,103,9469,1
1,103,18195,1
4,103,8659,0
10378,104,14463,1
5000,104,16720,0
5,104,11765,0
8534,104,9738,0
7412,104,19564,0
5982,104,8218,1
2417,105,16943,0
4,106,5743,0
13488,106,5730,0
3933,106,15268,0
2,107,18450,1
9907,107,8048,1
11403,107,15592,1
2,107,5794,0
12479,107,17607,0
2,108,1715,1
10451,108,16957,0
5,108,4609,0
1,109,5772,0
354,109,12689,0
4935,109,17789,1
12381,109,777,1
3,109,7846,0
1,110,4636,0
12489,110,10690,0
4,110,9401,1
5345,110,9365,1
5,110,8270,1
5,110,8753,0
8561,110,323,1
2,111,15351,1
6641,111,2849,1
3,111,18799,1
5,111,2917,0
13798,111,5053,1
4,111,9293,0
8259,111,2667,0
3,111,12705,1
5,111,6931,1
13107,113,11226,0
3,113,12773,0
4,114,3241,0
8971,114,14152,1
1923,114,2756,1
4,114,11092,1
2625,115,15510,0
13647,115,2106,1
4,115,8593,0
4,115,18164,0
5,115,18350,0
1,115,7973,1
2,116,13279,0
6086,116,2388,0
12554,116,12124,1
8899,116,2310,0
9806,117,12374,1
4938,117,16529,0
9028,117,18617,1
3,117,12146,0
5648,117,238,0
238,117,12497,1
11938,118,15378,1
1,118,18606,0
4420,118,4654,0
7821,118,5041,0
2,118,2120,1
12173,118,10445,0
8767,118,16256,1
8983,118,19439,1
4,119,7729,1
8423,119,15937,1
7508,119,10143,0
1,120,1865,0
11505,121,8596,0
8206,121,7476,1
9116,121,9463,1
3078,122,5952,0
2,122,16761,0
5,122,11330,0
475,122,5806,0
4,122,10682,0
2278,123,19375,0
5,123,12837,0
8303,123,10645,1
7033,123,1215,0
2,123,10286,1
9962,123,4838,0
2,123,19659,0
9142,124,8928,0
1,124,15457,0
11571,124,17080,1
5,124,1928,0
5,124,15722,0
3873,125,7152,1
12635,125,9066,0
8587,125,16489,1
11321,125,1154,0
5,125,4010,0
4,125,997,1
3,125,18624,1
5,126,13622,1
3,126,5560,0
5,127,7234,0
4808,127,14714,0
10981,127,16564,0
4,127,376,1
3936,128,14374,0
4070,128,12366,0
3,129,14665,0
3006,129,15540,1
5,129,7292,0
5,129,19412,1
4073,130,18160,0
5792,130,4308,0
7852,130,15001,1
4,130,5682,1
6028,130,5777,1
2351,130,17609,0
2331,131,18888,0
5,131,4756,1
1,131,15185,0
2,131,5427,1
3,131,4834,1
3969,131,8039,0
2,131,16195,1
4,131,8962,1
4310,132,3050,0
3,132,7718,1
4,132,17091,1
11614,132,13719,0
3,132,12879,1
13036,132,8462,0
4,133,6075,0
8630,134,3988,1
128,134,1174,0
5,134,3584,1
5753,135,1338,0
5,135,16259,1
4001,135,658,0
13456,135,16497,1
9496,135,9966,0
12910,136,4940,1
3,136,17077,1
1,136,7929,0
7568,137,959,1
4442,137,9638,0
2,137,6332,0
791,137,13052,1
2138,137,3636,0
1,138,5084,1
4755,138,15213,1
6635,138,15497,1
2207,138,15096,0
11635,138,5367,1
4,138,10765,1
13519,138,4755,0
4,139,6450,0
4243,139,1900,0
2,139,9445,0
2,139,3197,0
3,139,18424,1
1202,139,10894,0
11510,139,10924,1
2,139,2579,1
3712,139,8743,1
761,141,5432,0
1,141,7374,1
8211,142,6107,0
4574,142,7957,1
8821,142,886,1
10506,142,17598,1
2,143,2700,0
3120,143,9908,0
1,143,4202,1
3,143,4944,1
13543,143,4021,0
2,143,1039,1
11327,144,11231,0
3,144,5457,1
3632,144,9947,1
4409,144,2915,1
3392,145,11764,1
8237,145,6099,0
5,145,39,0
1,145,11736,0
2,145,15405,0
6994,145,16464,1
4,146,4551,0
3,146,1194,0
12713,146,10359,0
7886,146,18942,1
1,146,1107,0
1,146,4204,1
8633,146,3914,0
8762,146,6119,0
3,147,4727,0
9072,147,10590,0
7022,147,13287,1
1,148,4400,0
5,149,18228,1
1,149,11233,0
5315,149,13719,0
2797,150,18194,0
9581,150,14270,0
7258,150,4023,1
4,150,18700,1
1,150,8576,0
12451,151,7510,1
3916,151,15874,0
5,151,18960,1
9555,151,4291,1
5,151,14616,1
5,151,19973,1
5,151,3733,0
10213,152,13572,0
8206,152,16476,1
2,152,17028,0
2280,152,10681,0
8391,152,1309,1
4000,153,5700,1
7543,153,12551,1
5,153,17176,0
3826,153,16039,0
5,153,4156,0
5,153,7406,0
2,153,13435,0
4433,154,18364,1
6883,154,17330,0
5,155,18715,1
2,155,12368,1
4157,155,13009,1
3,155,6125,1
10939,156,6495,0
7001,156,3737,0
321,157,19442,1
4,157,19597,0
10199,157,5271,1
4842,157,18279,0
3878,158,9066,0
11475,158,606,0
12654,158,15793,1
161,158,15128,0
8365,158,16004,0
1383,158,7052,0
1,159,7896,0
4,159,13678,0
5,159,15248,0
1357,159,11573,1
2,159,438,1
12587,159,2357,1
3961,159,7208,1
4,159,8248,0
2,160,2067,1
6982,160,13944,0
1122,160,9356,0
5,160,18131,0
4104,160,18880,1
6076,160,13369,1
2,161,15507,0
8190,162,15814,1
5936,162,17770,0
5,162,15202,0
8165,163,3553,0
4282,163,19256,1
4,163,2137,0
4,163,4588,1
6064,163,14373,0
3959,164,6362,0
5,164,5228,1
10807,164,12730,0
10635,165,15294,1
5,165,1850,1
1,165,18331,1
12047,165,363,1
4,165,14689,0
13529,166,13047,0
2508,166,18513,0
8243,166,5438,1
6708,166,3523,1
7940,166,1891,0
2,166,271,1
4,166,1864,1
5,167,1893,0
5,167,8076,1
2,167,13177,1
3,167,1044,0
4,167,5202,0
12695,167,17930,0
8892,167,6935,1
919,167,4943,0
2,167,19710,0
11502,169,17760,0
10271,169,1525,1
4,170,1070,1
3048,170,17290,0
1,170,18689,1
10936,170,4122,0
5,171,13322,0
1876,171,6753,0
1,171,15087,1
13579,171,17572,1
1,171,14886,0
3,171,19128,0
1,172,1817,0
13363,172,16792,1
11242,172,12785,1
3509,172,19152,1
3,173,15447,0
2,173,16972,1
4,173,6274,0
1,173,19146,1
13683,173,706,0
2238,173,16179,1
2,174,2899,1
759,174,8154,0
8444,174,7136,1
1,174,12760,1
3993,174,18008,0
1,174,16048,0
11025,174,6556,0
2,174,4892,1
1,175,18038,1
1,175,15983,0
9037,175,4583,1
12695,176,1439,0
8515,177,7178,1
1,177,10371,1
5,177,11039,0
4,178,2289,1
3529,178,1313,0
3,178,12158,0
12600,178,16811,1
1,178,17053,0
5917,179,3434,0
5908,179,1688,1
1,179,3767,0
10646,179,18802,0
3426,179,31,0
3885,179,1658,1
1378,179,10588,0
2,180,11843,1
564,180,4656,0
8898,180,4345,1
2888,180,7423,1
3525,180,13274,1
3803,181,4513,1
8192,181,11563,0
5071,181,6705,0
2,181,9457,0
2,181,12990,0
2,181,18100,1
10138,181,4744,1
8800,182,18095,1
5726,182,7223,0
1,183,18532,0
5,183,2152,0
2,183,6099,1
1721,183,8831,0
6114,184,4678,1
5,184,12149,1
12965,185,15643,1
5,185,17761,0
3565,185,13443,0
5,185,5413,1
12158,186,17778,0
10932,186,833,1
12072,186,390,1
12810,186,14016,0
4,186,4205,0
8942,186,4801,0
1,187,13160,0
1411,187,5644,1
2,187,12729,0
1,187,5562,1
6580,187,5142,1
2,187,1607,1
1,187,17248,0
3381,187,17180,0
3,188,12971,0
12869,188,14060,0
1,188,14519,0
13402,188,1061,0
5,188,9313,1
3241,188,17176,0
802,189,16304,0
3,190,8161,0
3,190,14133,1
4008,190,468,0
2,191,6711,1
846,191,5065,1
2,191,4384,0
5525,191,16221,1
9081,191,15566,1
5,192,9059,1
10891,192,6923,1
2141,192,716,0
9014,193,17096,0
1767,193,8879,1
13210,193,681,0
6510,193,17503,1
12056,193,12871,0
5,194,5003,0
3,194,11991,0
1114,194,8199,1
6752,194,12938,0
5,194,9119,0
7273,194,2747,1
9787,194,13182,0
5,195,12422,1
4693,195,12212,1
2,195,19162,1
1801,195,5266,0
3,195,6911,1
9437,195,14900,1
8569,195,429,1
