uid,mid,rank
7365,15796,5
5485,11285,2
561,37195,3
11731,16024,3
1780,770,4
7044,2434,4
6515,17569,4
3480,28694,5
13130,27481,1
8761,25659,2
2142,2748,3
1994,1268,1
11489,3557,3
8933,30741,1
5488,10628,1
10650,43022,2
10328,11017,2
2707,23484,4
10843,17160,3
3247,26532,2
4038,23940,2
1116,11654,2
3938,40758,5
13085,6874,4
256,37066,4
13198,11535,4
1111,24254,5
6958,24301,2
973,9269,2
4954,39100,4
8779,39977,5
2157,40775,1
5558,2028,3
5713,39505,3
12801,12667,5
3656,26855,2
6279,22663,1
13162,23600,5
2826,10966,3
9857,5057,3
8205,13774,3
3935,17413,2
597,6911,3
4583,207,2
7816,23420,5
7953,41524,5
12478,22404,5
7669,6375,5
1773,33828,5
13566,16199,3
11601,22300,2
11016,42558,1
11347,2694,4
13434,3628,4
10268,21835,2
10325,15708,1
11589,23777,1
13783,1307,1
10962,9475,3
13031,3749,1
13640,664,3
11732,30304,1
3858,39354,4
1386,23939,1
1731,20081,1
793,26737,2
4832,855,5
5950,7393,1
11761,21557,4
11064,38560,4
3605,32971,3
12783,25343,5
3026,40546,3
11869,15088,1
11559,42108,3
11684,15709,3
754,2812,3
6641,34755,3
11506,2912,4
8775,19361,2
11206,37505,3
8250,8121,1
5629,20446,2
357,31066,1
11930,2050,1
5518,20933,5
13566,7159,1
7495,42643,3
4594,6296,1
12278,29300,3
1743,32712,4
9732,2558,1
193,2201,5
3056,21358,2
12064,2870,3
12078,28644,1
5794,23329,5
5006,3988,3
4591,4736,1
11022,4556,3
8145,19831,5
8849,10678,3
320,32353,4
7117,41920,1
12835,27644,5
9102,37411,1
7774,8209,4
9530,18590,5
1164,36213,3
1155,18712,5
396,700,1
9426,191,5
1075,35744,1
3422,19779,2
1911,32746,2
5537,34664,2
7550,4015,2
7901,16539,2
1504,785,1
7655,12534,5
5896,19191,2
6081,29593,5
7066,22010,1
12418,4781,4
2463,12040,4
6097,13404,2
13216,10967,3
12023,22678,2
7604,31025,4
4872,29750,3
2586,27237,1
3219,3052,4
5,21607,4
4964,877,4
4237,15203,4
6894,28941,2
730,18078,3
4847,8312,3
11962,37946,2
9027,32218,5
6044,1151,1
2026,9205,1
1176,29306,1
11136,7806,1
12870,3344,5
4165,29376,5
7099,8131,4
4344,1680,3
13379,7254,1
11643,9436,5
11405,13297,4
12835,29900,2
6712,35248,5
12933,26212,1
7516,37221,2
6760,14070,5
2944,40159,2
7000,35258,1
9302,9541,5
4706,27664,2
12879,25472,3
946,18072,4
6928,11939,4
9855,4001,5
2833,28075,5
5482,40771,1
5631,3914,3
7818,20765,5
4202,38495,2
10833,34851,1
12472,25352,5
9912,11262,2
8401,41577,4
920,24053,2
9803,11339,5
7638,40356,1
11635,23549,1
8962,38757,1
3062,17507,4
5168,5105,5
12138,36209,5
10613,2915,1
6012,14398,4
823,699,3
490,7401,3
4266,4361,4
812,32308,3
11864,5487,5
11427,37260,1
11225,21973,4
3731,1168,1
1157,18541,5
5256,21690,2
9443,23715,5
4425,24395,2
4941,6732,1
7336,17338,4
7151,11517,5
1286,39082,1
11280,23323,2
9504,17925,5
11523,26963,5
10143,17750,4
9967,40263,1
1419,25732,4
3236,23804,3
6683,38070,3
9000,28179,3
4363,4749,2
9530,3710,2
6714,13117,1
10245,39299,5
12572,505,4
11727,23961,1
5124,2106,4
13067,22701,5
5005,20560,5
12585,11004,5
9537,30355,4
11799,6191,1
3471,38414,1
9683,40822,3
2798,41431,1
7209,13324,2
11070,11024,4
7670,668,5
13414,9338,4
6914,36488,2
7578,31922,4
11066,37733,1
4930,20160,3
7197,40081,1
13311,35548,5
11243,34350,3
3419,5714,3
350,4805,1
104,19256,2
7513,29549,5
1110,27713,2
8510,23834,1
4020,6971,3
4879,20385,2
10439,40035,1
499,40944,4
2095,32607,5
6084,15107,5
7285,23525,5
11011,4810,2
4273,13457,5
7340,38766,1
12433,17101,4
5660,4545,1
12870,42784,2
3514,7240,2
344,43126,3
12249,32050,4
10271,8428,5
11324,24286,3
10135,22929,5
7091,12174,2
10409,15782,4
6976,6950,2
6336,8018,3
10769,10210,4
12631,31704,4
4732,4855,2
7825,43089,5
4987,39812,2
6422,19857,2
2927,19964,4
11318,36933,2
8036,14389,2
4395,39038,3
12425,12016,3
2001,6255,1
7925,40119,3
11732,22416,4
12742,42680,1
11553,18272,3
761,4189,2
12443,11315,3
8051,21509,2
12986,37546,5
6772,13717,1
6471,16908,2
11404,42929,2
7335,23322,1
