  mid  | credit_link_id 
-------+----------------
     1 |            862
     2 |           8844
     3 |          15602
     4 |          31357
     5 |          11862
     6 |            949
     7 |          11860
     8 |          45325
     9 |           9091
    10 |            710
    11 |           9087
    12 |          12110
    13 |          21032
    14 |          10858
    15 |           1408
    16 |            524
    17 |           4584
    18 |              5
    19 |           9273
    20 |          11517
    21 |           8012
    22 |           1710
    23 |           9691
    24 |          12665
    25 |            451
    26 |          16420
    27 |           9263
    28 |          17015
    29 |            902
    30 |          37557
    31 |           9909
    32 |             63
    33 |           9598
    34 |          47018
    35 |            687
    36 |         139405
    37 |          33689
    38 |           9603
    39 |          34615
    40 |          31174
    41 |          11443
    42 |          35196
    43 |           9312
    44 |            577
    45 |          11861
    46 |            807
    47 |          10530
    48 |           8391
    49 |            629
    50 |         117164
    51 |          11448
    52 |          49133
    53 |          26441
    54 |          97406
    55 |         124057
    56 |           9089
    57 |          11010
    58 |          99040
    59 |          11359
    60 |          17182
    61 |           2054
    62 |          10607
    63 |          19760
    64 |           9536
    65 |          11525
    66 |          40628
    67 |           4482
    68 |          10634
    69 |            755
    70 |          11859
    71 |          28387
    72 |          48750
    73 |          20927
    74 |          36929
    75 |           9102
    76 |         124626
    77 |          27526
    78 |           9623
    79 |          46785
    80 |            400
    81 |            880
    82 |         146599
    83 |         188588
    84 |           8447
    85 |          10534
    86 |          17414
    87 |          13997
    88 |           2086
    89 |          61548
    90 |           9095
    91 |          12158
    92 |           9283
    93 |           9208
    94 |          40154
    95 |            406
    96 |          45549
    97 |          63076
    98 |          11062
    99 |          13685
   100 |          47475
   101 |           2045
   102 |           9614
   103 |            688
   104 |          11907
   105 |          10874
   106 |          89333
   107 |          96357
   108 |            197
   109 |            103
   110 |          33542
   111 |          43566
   112 |          71754
   113 |          43612
   114 |          51352
   115 |          16934
   116 |          10324
   117 |          78406
   118 |          55731
   119 |          32119
   120 |          11066
   121 |          11104
   122 |          37975
   123 |           2074
   124 |          27793
   125 |          44284
   126 |         290157
   127 |         110972
   128 |          32622
   129 |          73067
   130 |          11863
   131 |          55475
   132 |         124636
   133 |           9101
   134 |         123360
   135 |           5757
   136 |          39428
   137 |         124639
   138 |           9302
   139 |          11000
   140 |         249882
   141 |          16388
   142 |           9737
   143 |          30765
   144 |          10474
   145 |          22279
   146 |          30157
   147 |            568
   148 |          11780
   149 |          34996
   150 |            414
   151 |            649
   152 |           1873
   153 |           5894
   154 |           1775
   155 |           8839
   156 |          20649
   157 |          10329
   158 |           8963
   159 |          26564
   160 |           8068
   161 |           8512
   162 |           1572
   163 |          13552
   164 |         259209
   165 |           6520
   166 |           9073
   167 |          10428
   168 |          17447
   169 |           9886
   170 |           9482
   171 |          19326
   172 |           9344
   173 |           9071
   174 |           8973
   175 |          15730
   176 |          47608
   177 |           2293
   178 |           9070
   179 |          68274
   180 |          48787
   181 |          34574
   182 |           1642
   183 |          11472
   184 |          36196
   185 |          11980
   186 |          58372
   187 |          32646
   188 |          10533
   189 |          56088
   190 |          10802
   191 |          10149
   192 |          18402
   193 |           9348
   194 |         139408
   195 |            281
   196 |           5967
   197 |          79593
   198 |          47939
   199 |          36834
   200 |           9090
   201 |           3512
   202 |          52856
