  uid  |  mid  | upvotes | downvotes 
-------+-------+---------+-----------
  8328 | 19842 |       1 |         0
   466 |  9930 |       1 |         0
  7554 |   911 |       1 |         0
  3250 | 19027 |       0 |         1
  7242 | 10718 |       0 |         1
  1602 |  6639 |       0 |         1
 10222 | 10075 |       0 |         1
  3583 | 15953 |       1 |         0
 10320 | 10947 |       1 |         0
 10112 | 19148 |       0 |         1
  6088 |  3551 |       0 |         1
   738 | 17232 |       0 |         1
  1224 | 17657 |       0 |         1
   496 |  1583 |       0 |         1
 10478 | 12696 |       0 |         1
  8105 | 16894 |       0 |         1
  9251 | 11566 |       1 |         0
  4513 | 14589 |       1 |         0
  7795 | 17241 |       0 |         1
   679 | 13393 |       1 |         0
  6119 | 13732 |       0 |         1
  8133 | 12628 |       0 |         1
  3802 |  8998 |       0 |         1
  6534 |  6129 |       0 |         1
  7657 | 19548 |       0 |         1
  7695 | 17344 |       1 |         0
  1598 |  6612 |       0 |         1
  3991 | 18384 |       1 |         0
  1143 | 10995 |       1 |         0
 11546 |  1079 |       1 |         0
  6416 |  8891 |       0 |         1
  4193 |  9921 |       1 |         0
   635 |  6151 |       1 |         0
 11232 | 10187 |       0 |         1
  8679 | 12798 |       0 |         1
   538 |  3350 |       1 |         0
  4797 | 18437 |       1 |         0
  6950 |  4456 |       1 |         0
  8619 |  3957 |       1 |         0
  8212 |   589 |       1 |         0
  4976 |  5748 |       0 |         1
  7815 | 10945 |       0 |         1
 10411 | 18112 |       1 |         0
  8755 | 12878 |       0 |         1
  9784 |  6073 |       0 |         1
  4339 |  6436 |       0 |         1
   370 |  5029 |       1 |         0
 11777 |  2093 |       1 |         0
 10655 | 19641 |       1 |         0
  9615 |  8917 |       0 |         1
(50 rows)

