following_uid,follower_uid
7365,9920
955,5015
5485,3021
13513,9639
5286,7377
12059,4471
11379,9585
5829,4963
6360,7081
561,6957
13621,12254
4521,4518
5673,10545
11731,6965
11458,13305
11206,12934
8417,8254
1780,2168
864,6265
10678,796
13898,10206
7044,8208
2528,6920
5406,10747
5146,12549
6515,7962
1279,4359
4650,8063
3480,8241
12404,12611
6491,7871
13130,8653
11191,8814
8761,4981
9369,12005
2653,11896
7944,4030
2142,4714
2842,5286
9262,10440
10093,6970
284,10195
2829,11299
3100,7951
4753,5496
1994,12515
7829,3117
1362,11770
1623,11007
11489,5833
3651,6079
3985,1865
8933,12400
11175,10064
5488,12499
10722,9084
8887,3310
10650,12075
10348,6789
8528,3071
10328,3832
11111,9998
7608,847
2707,10756
7136,12256
9650,1487
6330,6884
5581,10892
7194,772
9765,200
10843,11574
870,4848
12301,2041
8321,5639
3247,1190
10242,13370
1680,7080
4038,1877
7650,4636
3168,3352
1116,6308
11748,10284
10900,4964
13512,1656
3938,4101
8084,9962
9787,9409
13085,4076
6968,9588
5770,5777
256,5877
4392,1038
10268,4645
1090,13510
13198,9232
11629,695
12838,10987
7724,13107
12085,6471
9562,9704
1111,1619
7964,3861
6534,345
7987,9831
6958,173
8011,3218
8624,9184
973,7159
9363,13163
4982,8512
12280,13457
4954,1304
6426,5248
8666,4993
8779,13124
7303,2273
5371,10966
2157,7705
12171,11172
159,11093
8101,8990
2663,2639
5558,5617
13535,2465
2122,3376
2790,4805
9782,423
5353,13778
5713,5674
6831,4323
486,13217
12801,6889
12761,215
5987,6844
3656,13858
10565,1059
6279,4319
3194,3770
6373,5789
8487,2171
13162,6960
3199,5738
7310,8619
12885,11655
2549,5344
11932,1411
9091,1291
2826,3265
11060,9716
8249,450
9857,12521
5151,9813
8205,12184
13868,13580
10977,123
3935,13313
1123,1108
7480,10989
597,9114
7005,12733
12780,2119
9157,8585
7033,5934
4583,10152
301,12303
5229,13598
6072,5886
7816,10398
7130,849
1579,9056
7953,3830
958,1333
2885,13216
7503,10500
8850,2001
5211,7494
12478,8056
6114,9851
1852,9505
7669,4696
6469,9644
6987,12126
1773,1555
3337,7764
4731,12272
1154,1511
6763,11140
13566,7861
10009,13555
11601,13143
3252,13215
6010,1523
10912,4473
11016,7624
9884,4569
11347,12580
2788,11349
13178,3166
13434,650
3722,8642
9650,1658
10268,11787
5545,1135
1758,2781
9816,12761
10325,13062
5687,2648
11589,1874
10524,13281
7487,170
13791,4421
13783,5930
1401,5152
12316,11606
6871,2444
10962,2868
13355,2357
5959,3324
9569,10403
7621,487
8996,1203
5670,4457
5625,5283
13031,8897
4508,13753
3843,13391
13640,5152
13066,11062
758,4093
2093,8959
8089,6661
11732,3772
12030,5891
1590,6458
3399,8218
3858,8317
5327,7785
1948,13749
13903,1495
6680,13536
12946,4166
1386,8903
3676,12921
11744,2881
7649,7264
7375,965
1731,4291
3791,11891
11286,9699
11439,2834
793,1035
10447,435
12384,11195
4832,13426
13972,7517
949,4228
8259,754
5950,10320
7487,9847
6623,3552
11761,9943
5344,3070
5267,9336
1802,548
11064,9991
5886,8279
10020,5537
5630,11071
5026,913
3605,4963
297,107
11542,12266
4313,7822
12783,1015
9053,5015
4484,2513
2422,9601
8099,6570
3026,11964
7872,2112
292,8052
7220,9515
2025,4887
11869,6925
6382,13332
8895,2529
11559,2963
9434,10802
4377,1533
11684,12451
2606,3638
10081,11462
754,1876
2906,6438
7193,2358
6641,10256
9656,306
2081,8794
13917,6254
8433,13904
11506,7122
3006,426
1829,6955
1938,8139
8775,8264
3071,8837
2054,5815
5854,9228
6789,822
2480,5070
11206,11149
4831,3338
1897,743
8250,5190
8215,13904
6711,6709
5629,11024
4156,11034
11656,7230
357,1104
6382,1645
8910,9090
9303,12367
11930,7587
13263,12596
2144,12551
5518,3496
12010,7542
4643,13360
3203,5519
13566,4336
12377,12898
7253,3256
10343,12835
7495,4250
3265,7573
9969,8814
2350,11585
1249,9310
4594,6712
6390,5755
6292,12021
11478,13485
9983,8719
12278,1271
13010,8051
12969,8687
1743,10391
5634,11337
9732,2328
4294,10732
12210,4795
8540,11122
11470,6001
2652,7955
5687,7621
193,5654
2295,6827
3056,2608
5068,7925
4528,10060
12064,7039
2964,8005
11521,5744
12078,1191
1051,9215
12354,2046
8447,10260
5794,9841
7039,11065
4588,12708
9587,9281
5006,7894
4082,8899
9814,10880
6110,690
13798,13303
13541,7970
1313,9128
4591,13608
4830,4534
11391,6067
11022,953
4650,5614
9241,7480
8145,8731
12852,10075
3541,4412
1140,3549
6988,12239
1788,12974
3531,1125
8849,9582
10772,8001
5990,13400
3449,10350
320,1542
4988,10332
7117,12906
9246,2945
5695,12111
12835,10355
11354,12048
8091,8201
9102,10562
13041,7246
7778,10095
4737,9598
13598,7047
11407,4150
7774,5497
8303,10738
7434,9376
9530,1767
2300,11962
10811,4627
1164,5019
3539,12641
10852,10290
1155,6180
2422,12485
3515,13375
396,7829
12563,4959
701,9411
3265,1316
794,2955
5183,10560
9426,11277
285,10797
10587,8523
1075,9431
3070,3348
6197,3877
1279,7052
3422,861
3489,2776
8414,7805
10352,7577
1911,5181
5949,8059
6804,2760
664,10046
5537,11778
1990,11102
2828,3608
3958,590
13008,13430
7550,11467
4109,5917
11188,12217
1781,2167
3104,7890
7901,8624
249,4044
10824,6128
1504,11395
12344,10104
879,8423
11462,2650
8191,6465
7655,4510
12628,6054
7438,9202
7301,13588
5691,6088
5896,11825
2901,5116
632,10387
6081,3002
1936,3009
13303,13641
10742,10269
8811,3965
7066,12815
5720,11854
3045,9285
8087,10434
12418,5180
4875,12981
12402,6641
2463,490
12134,11885
6750,12797
8268,1033
4590,9923
10988,11011
9258,2605
6097,4731
6709,1744
9453,3785
13498,3530
13216,3296
6014,4274
11061,12653
10269,10578
948,12770
4241,8500
12023,3332
3864,3957
669,153
11548,11217
1243,5033
6388,3066
6552,9814
7604,8409
10002,12006
4872,9723
13220,9449
3949,11587
13460,3440
2586,2581
10947,656
3219,4076
5786,6356
3146,1832
5,9191
5317,3649
5410,12777
4964,10013
971,11210
9278,11818
7122,12193
4237,9221
7061,13484
7174,7190
8082,13818
6894,8361
12651,389
4560,8307
730,11529
13512,9325
1788,5425
9969,4750
4847,1204
8406,13555
925,3866
11962,8658
5272,6218
9656,7742
9027,13200
8403,1269
6044,1259
2933,9379
1245,9570
7655,10298
2026,9132
9299,10278
1759,8807
1176,4561
13016,5633
607,12483
11136,13043
13502,7206
7900,8529
5332,2895
654,4702
3767,11183
12870,10889
7499,7357
13279,10560
3438,1636
13595,2860
4165,10401
13086,4586
9757,12994
675,3178
7099,5451
10581,1952
8225,864
3242,1517
4344,8693
1774,3067
3601,1967
13379,5694
7348,10981
2839,2364
11643,5370
12332,4844
9530,6666
5283,9468
11405,5167
13391,9726
2236,11340
13340,5558
11346,11620
12835,7545
13610,11184
11246,11190
10552,8515
6712,4054
2574,10180
6579,1408
12933,7942
9922,1165
13695,9261
7516,10025
10044,3380
4547,9044
10357,3190
5976,415
6760,2416
2944,650
11538,5034
7485,5527
7000,1481
12017,4858
2584,11334
9918,10714
11103,6949
9302,10291
9635,10217
4706,7732
11374,4936
2934,13057
8622,10450
5973,13448
12879,3962
9182,10713
6398,3888
11833,7468
946,2608
1782,3898
10218,2422
6928,8904
12033,2260
2522,3403
9855,6547
4095,8162
5147,7737
2833,6499
11785,1087
5827,5519
5482,9664
8097,4476
5631,3269
13574,4877
4008,9592
1161,5655
7818,7555
4475,13120
10731,3173
4202,10973
5821,3078
3468,7354
12256,6149
10833,2618
9040,11869
2177,9772
11061,10387
11183,4676
12472,12002
9062,5704
6843,2096
9912,1482
11356,11470
512,6647
8401,1125
8903,10052
4069,13050
3362,1315
920,13217
7763,13258
5840,12093
9803,10701
11433,13384
507,12632
7638,6130
7682,9905
823,9550
11635,6618
7259,8169
11095,9158
8962,929
11752,11109
6083,9205
2599,1819
3062,6693
2881,2508
1217,9600
4174,6088
1666,4593
5168,2200
5199,2663
2238,13710
9974,9425
6901,304
7452,9351
12419,5006
12138,2315
3535,328
3861,887
5739,3205
10613,2261
3009,8621
5063,9646
6012,5288
13679,1309
12239,4514
8882,7409
823,8570
1460,307
4587,1753
793,12365
7281,5119
490,13134
7495,9704
8177,10673
4266,6012
4455,5236
2597,1889
10106,6083
812,8391
2877,13872
5041,5673
11864,5646
5581,13152
8430,12180
5075,3940
11427,11977
7361,7001
4586,11579
7287,473
11225,3388
5683,3424
7746,4903
3731,11725
11509,8032
1262,13755
10903,319
1157,832
2251,330
7955,12565
5256,806
5400,6083
11269,1983
6636,13005
11581,7268
4824,1354
9443,5341
7425,7366
5429,843
9019,12273
4425,3646
8105,6495
6896,6738
4941,8796
6826,13958
7336,1918
1048,6947
2634,13167
7151,11228
11611,7872
11588,4327
1637,6614
5388,10421
1286,1872
6408,1317
13799,7725
11280,13716
7033,11954
2776,1872
9504,9591
1635,7585
6267,4954
11523,8988
5636,8213
10673,3084
12006,8438
13902,1420
9675,9588
10143,12009
1460,9998
8786,5222
9967,9093
8797,12617
7589,2817
4407,4751
1419,1420
9442,4228
10114,9446
3236,2964
7514,12803
3581,1337
1905,8634
6683,1926
3018,1664
5396,12222
10501,7341
4281,2013
9000,6511
6072,3327
11889,3853
12421,6092
11809,2450
4363,9684
4843,11067
4944,1919
9530,10778
3804,7375
9368,4155
6714,5419
8742,499
13211,1816
9181,5411
9671,11112
10245,3940
3167,4305
6625,11479
10283,159
12572,9586
599,13207
1309,6477
1626,9702
11727,11880
7671,1063
918,463
1023,8519
5124,2337
13523,5097
228,3178
2200,8168
3722,9207
13067,8975
6411,12559
1947,13417
5005,1564
13555,4820
4270,4354
11220,3717
11571,10387
12585,10552
11098,12076
5443,918
9537,3526
13938,6623
11799,4246
6285,4308
1351,7515
3471,9084
5740,874
13549,11137
3581,2987
3679,5629
9683,10180
11924,3401
8148,2997
3425,13090
2798,13486
8757,3813
8215,116
7209,1595
13418,9129
1448,10047
11070,3736
11118,5307
5158,286
8644,13401
11306,13509
7670,8682
762,7269
4563,5209
13414,4757
9432,4421
13754,9160
6914,10908
12472,4430
3814,8376
2840,10566
7578,8743
634,10567
11066,12736
5059,9291
12423,13739
4930,12821
3870,5589
6137,8631
7197,2806
7407,7690
5415,13039
13311,6368
6227,6379
7986,10749
10795,9403
2874,8912
1019,12666
11243,10266
1676,4089
7809,1773
3419,8509
12772,838
5808,557
7121,1663
350,11634
4899,13546
1933,1831
10231,13429
104,12326
2966,7998
9084,12238
7504,7097
7513,8951
13259,1451
5219,1109
1110,10419
10111,10955
12756,1149
11423,1859
2288,6104
8510,4553
13645,11156
13235,9699
7544,762
4253,3465
13623,6071
4020,1489
7065,8385
7033,4165
4879,7077
13867,8708
4095,5694
1728,3745
10439,12444
7361,9419
8797,9989
479,3715
499,3285
8270,8884
12900,486
12858,1170
2095,2745
11043,13695
9955,2479
6084,904
1555,8142
7285,11596
7235,5596
3731,12025
11011,6990
4904,1254
4273,7669
13551,1626
7340,5576
6695,7643
6092,5071
2143,5790
12433,10969
4875,8540
811,3643
8034,11472
5660,6258
4639,6766
5071,5359
12870,1326
10110,2518
10368,11862
3514,8166
7334,4356
9861,9860
344,3003
8960,4807
12820,6850
10452,9912
865,12285
12249,3978
4458,3610
10271,3498
1172,4693
8522,5103
8675,6317
11324,12967
7996,10245
4953,4104
10135,2830
6639,4586
4814,11461
2909,8688
3469,1069
11565,318
1347,4708
7091,6872
12268,8522
4768,11785
10409,4306
4625,11521
10437,320
13146,10564
6976,8278
7044,4372
9616,1436
6336,4131
8112,8496
7036,3822
9645,13798
7097,4023
10769,13276
12829,2898
10304,9396
1426,6653
12631,10313
4356,488
7743,6934
9645,9130
5210,9811
4732,8890
4949,676
3272,10226
7825,227
10415,2933
2275,3480
4987,3865
7138,2363
232,1070
6422,7700
3567,7308
5544,10100
2927,11550
3674,9830
6066,2930
11318,2833
4259,9644
10880,4229
8036,9603
5664,6928
4395,8448
6364,2004
3913,9414
12425,12157
12110,9945
12329,11412
2001,2058
6349,5248
855,10576
7925,1061
7445,984
6333,3156
6185,6556
11732,6261
6126,11916
7782,7062
9186,11476
12742,11035
11234,9953
10006,11353
8567,8196
11553,7474
1982,9728
3361,7375
761,1162
4283,4318
766,11210
10256,12540
12443,12143
6872,9113
11409,4702
7665,4080
8051,10379
5219,3274
5680,4633
12986,12188
4872,2457
3995,2319
6772,6466
13811,1821
7076,10293
6471,5886
618,8168
2488,8553
11404,7108
2688,932
10255,4679
13484,13084
10040,781
7335,11648
7032,13378
10583,451
6285,12102
5335,9158
10548,10260
10573,4742
13462,10097
6588,4513
12489,10928
2973,10515
4238,6737
3739,3486
4527,12465
13432,10637
13663,4452
10342,4974
13007,5414
1371,13296
5906,2834
11053,13326
397,11017
733,9605
150,9822
13108,4879
8812,10730
12856,10059
12410,11496
8245,13221
2220,972
11574,2965
459,11487
6904,12431
4716,12034
13718,11123
13265,387
5221,9938
5217,12918
1741,12693
1013,8823
2892,2781
6601,328
5965,13615
1626,10939
8267,2469
3440,2367
7768,1061
7044,984
6977,3958
2001,6249
3181,3495
13598,8321
8247,4637
5845,3618
12867,1858
10362,3386
9000,2583
1157,10987
2071,1653
1391,4785
13637,6216
6324,2371
7736,12293
220,4534
4727,1198
6383,7615
3691,9706
11570,5504
6263,9765
9890,12201
7656,12029
8353,13534
327,7964
10443,3051
9456,7805
10445,6112
6466,9669
4301,10861
9780,3479
13005,9856
8038,10181
12294,10530
6986,10153
6833,123
2567,8992
10947,9307
13924,10350
2834,9733
5496,7851
1856,7043
11801,11951
10262,11274
10649,5850
971,3697
3907,5157
11735,11972
9599,8166
1555,7339
10996,6467
10611,7200
1828,11655
1700,3676
5717,2857
6862,12324
10850,667
11708,7800
7081,12375
3612,709
10684,4145
3830,420
11157,3835
9447,453
13141,3872
8529,6001
2685,10658
1158,1816
4419,1444
10882,3791
9206,3991
5437,4355
100,9883
7584,9914
8754,7036
12457,10789
8290,13559
6061,3903
8932,5341
212,8479
11215,10961
2646,3940
13329,2672
5655,186
4384,4329
941,8767
11049,6687
13798,13739
13841,11203
6411,12722
6564,8223
13816,1170
9428,2608
10097,8263
9010,6956
319,9085
12914,12857
4303,13845
6378,12236
12941,699
2143,3074
6328,7235
13036,7160
12702,5011
9860,6895
1923,692
2012,9819
4329,7415
7083,8800
2121,5717
3839,1972
9188,12259
13072,12130
10326,1794
104,9316
355,12882
6133,5875
9960,811
2314,13524
7136,13891
2155,4181
5382,760
12000,7941
1714,6706
8607,10495
1437,1174
10663,8514
2927,8435
2919,1164
2089,5358
11245,8046
10325,13014
3585,1458
11964,4603
9405,1850
8079,614
1699,5558
12314,11831
330,10609
10256,7328
12716,1197
2003,692
8662,3368
3625,12336
5351,5876
2730,10892
8257,6351
9857,7353
2655,10475
5510,13112
3486,8875
11252,6649
11930,12759
6046,9694
5563,8097
8102,4941
12137,13009
9159,11677
9539,11727
6508,9916
7036,9281
9601,13966
4915,4893
2993,6700
7641,10346
172,13562
7672,12859
10908,3081
4322,495
695,2950
1160,10511
2231,3507
10736,151
10630,8117
10150,1970
9605,4638
12998,4393
11884,3863
7038,5847
12049,4928
7899,12584
6660,1448
6079,10697
5237,5082
4765,6692
2285,4406
9279,10889
2807,3029
2287,117
1343,10489
11341,1304
12885,10583
4128,9035
2092,899
13203,8420
3782,4511
10438,10724
4113,8720
11397,5236
2065,5063
8484,3766
5860,12023
10913,7387
1297,7096
8230,12326
5662,2193
7762,11204
5837,8539
5883,5156
5503,13121
10322,9416
8764,3359
9541,5530
1017,8588
514,6786
2299,10264
10884,2858
1215,4100
11355,3336
1045,3152
2431,645
5468,5669
2338,5506
2740,1682
10144,10109
4707,6015
1960,5355
11199,11504
13524,11783
11140,4504
6123,12566
7421,5878
13197,807
6466,10462
6454,5501
7958,8085
3323,7515
3814,12359
11515,12136
2466,6938
2986,2528
3851,3396
4320,365
189,10081
2769,13193
6993,10749
10242,12580
888,11681
10121,1174
2211,11165
5874,5417
12393,13010
11612,8890
11206,5352
10884,13828
11492,8077
13094,13463
6261,9872
909,11344
440,6309
10636,5101
8649,4080
2538,12976
10552,9682
10475,11975
7878,8886
11292,8800
11568,6086
1079,6322
7885,9353
