uid,mid
7365,9826
955,21305
5485,35695
13513,40051
5286,15636
12059,20761
11379,9491
5829,21253
6360,39755
561,6863
13621,4424
4521,10451
5673,40928
11731,34842
11458,22555
11206,31827
8417,42880
1780,6826
864,43421
10678,12455
13898,24252
7044,20649
2528,40737
5406,24531
5146,12517
6515,40545
1279,8559
4650,8720
3480,4887
12404,28186
6491,37388
13130,21576
11191,43114
8761,39644
9369,10101
2653,7857
7944,38170
2142,28805
2842,35791
9262,30989
10093,10913
284,38507
2829,22369
3100,1771
4753,12306
1994,9970
7829,12405
1362,8990
1623,35984
11489,39463
3651,19361
3985,20122
8933,26288
11175,43430
5488,34161
10722,6790
8887,27182
10650,14386
10348,17062
8528,106
10328,21138
11111,34715
7608,5545
2707,13276
7136,39754
9650,34551
6330,19642
5581,6214
7194,14486
9765,15606
10843,37638
870,20391
12301,9868
8321,3982
3247,9494
10242,5683
1680,5783
4038,29800
7650,41906
3168,16985
1116,22761
11748,25994
10900,1525
13512,26121
3938,79
8084,35892
9787,25474
13085,39833
6968,8418
5770,13363
256,1210
4392,37922
10268,4899
1090,18563
13198,10872
11629,7611
12838,43846
7724,27383
12085,15792
9562,35313
1111,38291
7964,2371
6534,19666
7987,4711
6958,329
8011,38348
8624,20613
973,6795
9363,32889
4982,6750
12280,20609
4954,15451
6426,3676
8666,18461
8779,38412
7303,11561
5371,32464
2157,31664
12171,3171
159,33124
8101,28811
2663,9719
5558,29
13535,17398
2122,43663
2790,41788
9782,2025
5353,38608
5713,13504
6831,10304
486,17139
12801,25346
12761,29506
5987,1907
3656,40168
10565,7962
6279,26141
3194,12032
6373,15129
8487,15664
13162,34229
3199,15683
7310,15194
12885,28562
2549,43814
11932,7767
9091,29845
2826,29433
11060,29505
8249,37147
9857,40298
5151,20859
8205,3072
13868,16940
10977,24932
3935,1041
1123,2687
7480,12667
597,35322
7005,1780
12780,13187
9157,16460
7033,20711
4583,22220
301,5058
5229,18734
6072,19158
7816,35031
7130,19614
1579,43077
7953,17493
958,20747
2885,5189
7503,41571
8850,29681
5211,37826
12478,36767
6114,8865
1852,36446
7669,5797
6469,39132
6987,8124
1773,8223
3337,24075
4731,29826
1154,36840
6763,41577
13566,2787
10009,33639
11601,36965
3252,25989
6010,35508
10912,33709
11016,33109
9884,29716
11347,23807
2788,36902
13178,17044
13434,10226
3722,9753
9650,3458
10268,42617
5545,9242
1758,454
9816,9897
10325,21827
5687,10977
11589,33587
10524,4869
7487,16397
13791,31635
13783,12172
1401,24112
12316,33689
6871,21305
10962,42275
13355,39244
5959,28254
9569,30981
7621,2018
8996,7958
5670,42189
5625,4793
13031,13238
4508,16252
3843,19253
13640,10708
13066,34207
758,28741
2093,3544
8089,39112
11732,35032
12030,42930
1590,212
3399,39796
3858,332
5327,23245
1948,8170
13903,22105
6680,41902
12946,14592
1386,31712
3676,728
11744,21360
7649,43823
7375,36012
1731,37864
3791,22999
11286,10930
11439,14843
793,23520
10447,17394
12384,34319
4832,8996
13972,28657
949,40261
8259,15568
5950,28841
7487,23832
6623,13266
11761,5425
5344,20626
5267,14087
1802,29188
11064,35930
5886,20540
10020,25104
5630,27875
5026,9216
3605,39386
297,22045
11542,11927
4313,31502
12783,29775
9053,25009
4484,17561
2422,24341
8099,24977
3026,27627
7872,32721
292,35002
7220,4701
2025,43796
11869,7861
6382,7527
8895,38328
11559,39501
9434,2514
4377,7831
11684,14782
2606,7911
10081,15848
754,5650
2906,9121
7193,1952
6641,10166
9656,14353
2081,9747
13917,43739
8433,28998
11506,41955
3006,24184
1829,8805
1938,27170
8775,596
3071,29593
2054,40644
5854,20824
6789,5973
2480,15883
11206,859
4831,5520
1897,23770
8250,25021
8215,42749
6711,37086
5629,19839
4156,12880
11656,33799
357,42256
6382,24291
8910,10256
9303,1448
11930,43006
13263,29196
2144,2851
5518,28401
12010,11954
4643,40875
3203,23536
13566,10001
12377,9504
7253,15494
10343,4056
7495,38171
3265,32409
9969,42050
2350,34441
1249,28252
4594,4533
6390,4925
6292,12547
11478,26580
9983,6086
12278,12391
13010,13281
12969,24119
1743,4865
5634,42085
9732,33990
4294,35629
12210,26850
8540,27567
11470,10703
2652,41197
5687,15386
193,9337
2295,31226
3056,36022
5068,3783
4528,23342
12064,24095
2964,23867
11521,19050
12078,42720
1051,30993
12354,14568
8447,3514
5794,13336
7039,38591
4588,14838
9587,12123
5006,34841
4082,31008
9814,41298
6110,27685
13798,26394
13541,22755
1313,20800
4591,38728
4830,9108
11391,5994
11022,30806
4650,28115
9241,37790
8145,42943
12852,16139
3541,9191
1140,26724
6988,12887
1788,16780
3531,28175
8849,29087
10772,17323
5990,42597
3449,35279
320,18034
4988,20075
7117,3436
9246,35970
5695,28943
12835,29060
11354,32827
8091,30298
9102,43891
13041,21323
7778,35740
4737,9720
13598,14018
11407,8315
7774,28296
8303,9629
7434,42123
9530,11493
2300,36114
10811,15358
1164,33330
3539,20366
10852,39030
1155,1738
2422,9097
3515,19939
396,12683
12563,27500
701,41895
3265,41035
794,295
5183,32537
9426,24597
285,32650
10587,11435
1075,38099
3070,4656
6197,17494
1279,3772
