uid,mid,date_watched
7365,9826,2023-11-02
955,21305,2023-10-20
5485,35695,2024-03-28
13513,40051,2023-09-19
5286,15636,2024-03-02
12059,20761,2024-06-11
11379,9491,2024-05-23
5829,21253,2024-01-31
6360,39755,2024-06-16
561,6863,2024-02-20
13621,4424,2024-07-01
4521,10451,2023-09-20
5673,40928,2024-04-19
11731,34842,2024-05-05
11458,22555,2023-09-14
11206,31827,2023-07-15
8417,42880,2024-02-05
1780,6826,2024-02-15
864,43421,2024-07-06
10678,12455,2024-03-21
13898,24252,2024-03-20
7044,20649,2023-10-18
2528,40737,2024-05-02
5406,24531,2024-01-16
5146,12517,2024-02-11
6515,40545,2024-01-01
1279,8559,2023-07-31
4650,8720,2023-10-10
3480,4887,2024-03-15
12404,28186,2023-10-07
6491,37388,2024-06-03
13130,21576,2024-04-24
11191,43114,2024-04-10
8761,39644,2024-03-22
9369,10101,2023-11-17
2653,7857,2024-04-27
7944,38170,2024-04-11
2142,28805,2024-06-14
2842,35791,2024-02-01
9262,30989,2023-08-01
10093,10913,2024-04-28
284,38507,2023-09-26
2829,22369,2023-09-01
3100,1771,2024-04-04
4753,12306,2023-09-12
1994,9970,2024-05-01
7829,12405,2023-11-01
1362,8990,2024-03-25
1623,35984,2024-04-10
11489,39463,2023-10-29
3651,19361,2024-06-10
3985,20122,2024-01-28
8933,26288,2023-11-25
11175,43430,2023-09-16
5488,34161,2024-06-29
10722,6790,2023-07-14
8887,27182,2023-11-13
10650,14386,2024-04-29
10348,17062,2024-04-05
8528,106,2023-09-17
10328,21138,2024-02-28
11111,34715,2024-01-09
7608,5545,2024-02-27
2707,13276,2023-08-20
7136,39754,2024-02-17
9650,34551,2024-03-15
6330,19642,2024-02-03
5581,6214,2024-01-22
7194,14486,2024-05-09
9765,15606,2024-07-03
10843,37638,2024-05-06
870,20391,2023-10-28
12301,9868,2023-09-18
8321,3982,2023-08-11
3247,9494,2023-07-21
10242,5683,2023-07-10
1680,5783,2024-05-08
4038,29800,2023-11-30
7650,41906,2024-05-07
3168,16985,2024-04-19
1116,22761,2023-09-24
11748,25994,2023-10-21
10900,1525,2024-01-05
13512,26121,2023-10-20
3938,79,2023-12-22
8084,35892,2024-05-05
9787,25474,2024-04-27
13085,39833,2023-07-04
6968,8418,2024-02-07
5770,13363,2024-02-06
256,1210,2023-12-18
4392,37922,2024-05-13
10268,4899,2024-01-29
1090,18563,2024-03-09
13198,10872,2023-11-01
11629,7611,2023-11-05
12838,43846,2024-01-29
7724,27383,2023-10-20
12085,15792,2023-09-23
9562,35313,2023-07-04
1111,38291,2023-09-03
7964,2371,2024-05-13
6534,19666,2024-06-10
7987,4711,2023-10-28
6958,329,2024-02-28
8011,38348,2023-11-14
8624,20613,2024-03-03
973,6795,2023-08-14
9363,32889,2023-11-23
4982,6750,2024-07-02
12280,20609,2023-12-23
4954,15451,2023-08-11
6426,3676,2024-04-22
8666,18461,2023-09-27
8779,38412,2024-02-03
7303,11561,2024-02-13
5371,32464,2024-04-23
2157,31664,2024-04-16
12171,3171,2023-09-05
159,33124,2024-03-07
8101,28811,2023-08-10
2663,9719,2023-10-07
5558,29,2024-05-01
13535,17398,2024-06-24
2122,43663,2024-06-06
2790,41788,2023-09-17
9782,2025,2024-04-26
5353,38608,2024-01-15
5713,13504,2023-11-24
6831,10304,2023-10-14
486,17139,2024-01-09
12801,25346,2023-10-30
12761,29506,2023-09-15
5987,1907,2024-05-07
3656,40168,2023-10-20
10565,7962,2024-06-13
6279,26141,2024-04-22
3194,12032,2023-12-17
6373,15129,2023-07-06
8487,15664,2024-01-13
13162,34229,2023-10-06
3199,15683,2024-05-24
7310,15194,2024-02-15
12885,28562,2023-12-15
2549,43814,2024-04-22
11932,7767,2024-03-21
9091,29845,2023-07-08
2826,29433,2023-12-19
11060,29505,2024-06-24
8249,37147,2024-01-11
9857,40298,2024-03-25
5151,20859,2023-07-19
8205,3072,2024-06-18
13868,16940,2024-06-16
10977,24932,2023-08-18
3935,1041,2024-06-20
1123,2687,2024-06-02
7480,12667,2023-12-05
597,35322,2023-09-04
7005,1780,2024-06-11
12780,13187,2023-08-28
9157,16460,2024-05-04
7033,20711,2024-05-03
4583,22220,2024-06-01
301,5058,2023-12-06
5229,18734,2024-03-27
6072,19158,2023-10-29
7816,35031,2024-03-10
7130,19614,2024-03-17
1579,43077,2023-11-12
7953,17493,2024-03-30
958,20747,2023-08-25
2885,5189,2024-05-26
7503,41571,2023-10-04
8850,29681,2023-10-22
5211,37826,2024-06-21
12478,36767,2023-07-28
6114,8865,2024-05-01
1852,36446,2023-07-02
7669,5797,2024-01-28
6469,39132,2023-09-06
6987,8124,2023-11-05
1773,8223,2024-05-28
3337,24075,2023-07-24
4731,29826,2024-03-09
1154,36840,2024-07-02
6763,41577,2024-02-15
13566,2787,2023-12-23
10009,33639,2024-02-06
11601,36965,2023-08-05
3252,25989,2023-07-02
6010,35508,2024-06-25
10912,33709,2024-03-30
11016,33109,2023-12-24
9884,29716,2024-03-20
11347,23807,2024-01-02
2788,36902,2023-07-15
13178,17044,2024-04-04
13434,10226,2024-01-10
3722,9753,2024-01-14
9650,3458,2024-06-13
10268,42617,2024-04-30
5545,9242,2023-09-02
1758,454,2024-04-15
9816,9897,2023-07-18
10325,21827,2023-09-02
5687,10977,2024-06-26
11589,33587,2024-05-25
10524,4869,2024-06-22
7487,16397,2024-03-07
13791,31635,2023-07-17
13783,12172,2023-11-18
1401,24112,2024-05-03
12316,33689,2024-05-15
6871,21305,2024-03-01
10962,42275,2024-04-15
13355,39244,2024-06-15
5959,28254,2023-09-25
9569,30981,2024-01-15
7621,2018,2024-06-22
8996,7958,2023-12-08
5670,42189,2023-11-17
